Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
WED - EVE, 1/29/2020, 927, 7158, 50565, 11 16 21 37 38 39 $8.90 M/0, 003076, 3 7 11 37 38 $110000.00, , 9 12 15 31 60 +2 x2 $394.00 M/1,
THU - MID, 1/30/2020, 477, 4028, 09196, , , , , ,
THU - EVE, 1/30/2020, 881, 5680, 93642, , , 1 18 24 28 39 $120000.00, , ,4 6 8 18 39 +150
FRI - MID, 1/31/2020, 405, 4086, 50455, , , , , ,
FRI - EVE, 1/31/2020, 044, 7518, 28270, , , 6 8 21 26 39 $130000.00, 28 31 33 57 62 +19 x2 $155.00 M/0, ,
SAT - MID, 2/1/2020, 911, 3258, 58472, , , , , ,
SAT - EVE, 2/1/2020, 049, 9841, 71907, 10 18 20 22 30 47 $9.00 M/0, 454586, 4 11 19 23 39 $100000.00, , 12 33 54 57 60 +13 x4 $40.00 M/0,
SUN - MID, 2/2/2020, 698, 9120, 55530, , , , , ,
SUN - EVE, 2/2/2020, 780, 8692, 31411, , , 7 8 27 32 36 $100000.00, , ,
MON - MID, 2/3/2020, 743, 2475, 91770, , , , , ,
MON - EVE, 2/3/2020, 575, 7615, 04747, 10 22 29 38 42 46 $9.10 M/0, 392496, 2 24 34 36 38 $110000.00, , ,2 9 34 36 48 +130
TUE - MID, 2/4/2020, 125, 2383, 29481, , , , , ,
TUE - EVE, 2/4/2020, 249, 1918, 22276, , , 5 8 13 36 39 $120000.00, 32 48 50 51 64 +10 x2 $168.00 M/0, ,
WED - MID, 2/5/2020, 206, 4354, 92135, , , , , ,
WED - EVE, 2/5/2020, 677, 1321, 47151, 13 17 25 28 33 34 $9.20 M/0, 636461, 4 11 12 23 25 $130000.00, , 23 30 35 41 57 +2 x3 $50.00 M/0,
THU - MID, 2/6/2020, 701, 1142, 61006, , , , , ,
THU - EVE, 2/6/2020, 862, 8451, 65485, , , 8 10 18 27 29 $140000.00, , ,18 30 31 33 34 +160
FRI - MID, 2/7/2020, 916, 8375, 25293, , , , , ,
FRI - EVE, 2/7/2020, 220, 0304, 41097, , , 5 9 21 25 29 $150000.00, 9 14 27 36 52 +4 x3 $187.00 M/0, ,
SAT - MID, 2/8/2020, 977, 6991, 82210, , , , , ,
SAT - EVE, 2/8/2020, 733, 2702, 44612, 10 16 31 34 36 46 $9.30 M/0, 638367, 6 10 11 14 32 $100000.00, , 35 49 50 59 66 +6 x2 $60.00 M/0,
