Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
MON - EVE, 1/24/2022, 847, 4753, 80158, 14 15 21 44 47 48 $20.70 M/0, 957510, 5 20 22 24 38 $140000.00, , 11 29 30 47 53 +16 x3 $82.00 M/0,9 22 25 29 31 +10
TUE - MID, 1/25/2022, 215, 3533, 85656, , , , , ,
TUE - EVE, 1/25/2022, 069, 0458, 70372, , , 1 5 21 28 32 $150000.00, 3 12 38 53 58 +13 x3 $396.00 M/0, ,19 30 32 36 41 +120
WED - MID, 1/26/2022, 603, 6579, 09738, , , , , ,
WED - EVE, 1/26/2022, 516, 9817, 99977, 6 24 39 40 44 46 $20.80 M/0, 079180, 6 12 15 17 29 $162000.00, , 4 11 38 49 69 +16 x3 $91.00 M/0,10 11 15 18 22 +30
THU - MID, 1/27/2022, 921, 8974, 06363, , , , , ,
THU - EVE, 1/27/2022, 808, 0797, 67438, , , 9 11 16 22 31 $100000.00, , ,16 23 27 34 40 +70
FRI - MID, 1/28/2022, 213, 8398, 98584, , , , , ,
FRI - EVE, 1/28/2022, 147, 4144, 45229, , , 6 15 33 34 38 $110000.00, 3 16 25 44 55 +13 x3 $421.00 M/0, ,11 21 27 32 48 +70
SAT - MID, 1/29/2022, 083, 4112, 16785, , , , , ,
SAT - EVE, 1/29/2022, 445, 8578, 24532, 24 27 39 42 44 48 $21.00 M/0, 417097, 2 7 21 32 39 $100000.00, , 2 15 38 54 65 +11 x4 $104.00 M/0,3 28 31 35 46 +60
SUN - MID, 1/30/2022, 487, 8043, 33736, , , , , ,
SUN - EVE, 1/30/2022, 087, 2744, 10466, , , 1 31 32 35 38 $110000.00, , ,4 11 23 24 31 +110
MON - MID, 1/31/2022, 252, 1601, 04751, , , , , ,
MON - EVE, 1/31/2022, 730, 7386, 88669, 5 14 25 30 47 49 $21.10 M/0, 170446, 7 8 9 29 35 $100000.00, , 10 15 51 61 69 +14 x3 $113.00 M/0,3 27 28 35 41 +70
TUE - MID, 2/1/2022, 134, 9491, 20888, , , , , ,
TUE - EVE, 2/1/2022, 926, 5298, 79704, , , 10 14 15 18 30 $110000.00, 11 24 38 62 66 +1 x4 $20.00 M/0, ,4 10 20 25 36 +170
WED - MID, 2/2/2022, 276, 4486, 45746, , , , , ,
WED - EVE, 2/2/2022, 165, 6423, 03836, 4 12 15 20 23 43 $21.20 M/0, 170687, 12 27 29 31 37 $120000.00, , 18 29 33 62 63 +15 x3 $123.00 M/0,3 5 11 32 40 +160
THU - MID, 2/3/2022, 510, 4642, 67815, , , , , ,
THU - EVE, 2/3/2022, 232, 4080, 96440, , , 7 14 26 28 35 $130000.00, , ,6 14 16 25 36 +40
FRI - MID, 2/4/2022, 880, 5736, 20774, , , , , ,
FRI - EVE, 2/4/2022, 401, 5991, 03435, , , 1 2 19 29 36 $140000.00, 7 16 34 44 61 +24 x4 $22.00 M/0, ,19 20 22 28 41 +110
SAT - MID, 2/5/2022, 397, 1843, 76612, , , , , ,
SAT - EVE, 2/5/2022, 014, 7798, 21192, 15 18 21 23 27 47 $21.40 M/0, 202417, 6 11 19 27 36 $150000.00, , 5 16 27 39 61 +24 x2 $137.00 M/0,4 18 25 43 45 +120
SUN - MID, 2/6/2022, 293, 2872, 68670, , , , , ,
SUN - EVE, 2/6/2022, 104, 1537, 96455, , , 5 24 32 37 38 $100000.00, , ,24 25 33 37 40 +80
MON - MID, 2/7/2022, 468, 0623, 40562, , , , , ,
MON - EVE, 2/7/2022, 558, 6397, 04081, 10 11 12 13 27 38 $21.50 M/0, 445691, 4 7 11 19 22 $110000.00, , 5 15 38 47 65 +10 x3 $147.00 M/0,6 28 36 39 41 +160
TUE - MID, 2/8/2022, 369, 1287, 07366, , , , , ,
TUE - EVE, 2/8/2022, 234, 7238, 57457, , , 3 5 9 10 24 $100000.00, 1 17 20 52 54 +2 x3 $31.00 M/0, ,3 10 14 16 29 +60
WED - MID, 2/9/2022, 770, 7630, 00837, , , , , ,
WED - EVE, 2/9/2022, 673, 5445, 15909, 18 21 26 28 30 49 $21.70 M/0, 758942, 19 27 28 34 35 $110000.00, , 2 17 33 51 63 +26 x2 $158.00 M/0,8 16 22 23 40 +150
THU - MID, 2/10/2022, 717, 2870, 51278, , , , , ,
THU - EVE, 2/10/2022, 869, 7312, 20495, , , 3 7 9 20 23 $100000.00, , ,8 16 25 28 48 +90
FRI - MID, 2/11/2022, 078, 2817, 83699, , , , , ,
FRI - EVE, 2/11/2022, 410, 4959, 73797, , , 7 10 15 18 26 $110000.00, 11 16 23 24 30 +24 x3 $42.00 M/0, ,5 7 16 19 43 +30
SAT - MID, 2/12/2022, 298, 1692, 59003, , , , , ,
SAT - EVE, 2/12/2022, 109, 3493, 43146, 11 22 35 38 42 43 $21.80 M/0, 664122, 17 23 36 37 38 $120000.00, , 8 10 21 41 62 +7 x3 $172.00 M/0,13 25 27 39 45 +160
SUN - MID, 2/13/2022, 191, 7319, 81380, , , , , ,
SUN - EVE, 2/13/2022, 086, 4731, 51453, , , 7 20 24 25 31 $130000.00, , ,4 14 18 19 37 +40
MON - MID, 2/14/2022, 327, 8892, 06018, , , , , ,
MON - EVE, 2/14/2022, 116, 6366, 05895, 1 14 32 35 46 47 $22.00 M/0, 755184, 9 35 36 38 39 $140000.00, , 16 25 27 49 55 +17 x3 $183.00 M/1,3 10 20 27 41 +70
TUE - MID, 2/15/2022, 571, 6103, 71714, , , , , ,
TUE - EVE, 2/15/2022, 817, 5958, 19858, , , 6 15 29 33 37 $150000.00, 2 4 15 21 63 +19 x3 $53.00 M/0, ,25 27 28 31 38 +90
WED - MID, 2/16/2022, 190, 5363, 05230, , , , , ,
WED - EVE, 2/16/2022, 407, 2201, 13395, 2 11 30 38 46 49 $22.10 M/0, 784008, 9 23 31 34 36 $100000.00, , 22 30 40 42 48 +16 x2 $20.00 M/0,1 2 7 32 40 +160
THU - MID, 2/17/2022, 507, 4521, 33146, , , , , ,
THU - EVE, 2/17/2022, 837, 1512, 97624, , , 7 12 15 25 28 $110000.00, , ,9 29 33 38 41 +10
FRI - MID, 2/18/2022, 381, 4284, 43506, , , , , ,
FRI - EVE, 2/18/2022, 045, 3029, 13781, , , 1 14 21 28 33 $100000.00, 6 11 50 63 68 +17 x4 $64.00 M/0, ,1 3 23 42 45 +60
