Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
SAT - MID, 1/1/2022, 895, 0007, 76264, , , , , ,
SAT - EVE, 1/1/2022, 168, 7816, 07375, 7 17 18 26 31 46 $19.20 M/0, 387035, 3 9 20 26 32 $151000.00, , 6 12 39 48 50 +7 x2 $500.00 M/0,10 13 19 36 48 +120
SUN - MID, 1/2/2022, 766, 0386, 27795, , , , , ,
SUN - EVE, 1/2/2022, 764, 7530, 81340, , , 1 8 17 24 26 $185000.00, , ,3 5 12 36 40 +10
MON - MID, 1/3/2022, 596, 2920, 18892, , , , , ,
MON - EVE, 1/3/2022, 864, 3813, 04584, 2 9 18 36 44 49 $19.40 M/0, 300445, 8 10 27 28 37 $214000.00, , 2 13 32 33 48 +22 x2 $540.00 M/0,7 12 19 22 30 +10
TUE - MID, 1/4/2022, 449, 8108, 18924, , , , , ,
TUE - EVE, 1/4/2022, 403, 6997, 57999, , , 1 9 17 28 29 $255000.00, 4 6 16 21 22 +1 x3 $253.00 M/0, ,7 8 13 29 40 +30
WED - MID, 1/5/2022, 892, 2935, 34386, , , , , ,
WED - EVE, 1/5/2022, 699, 9015, 28383, 2 9 36 38 39 43 $19.50 M/0, 342878, 1 16 32 34 39 $294000.00, , 6 14 25 33 46 +17 x2 $630.00 M/2,5 8 22 37 43 +80
THU - MID, 1/6/2022, 467, 5675, 72402, , , , , ,
THU - EVE, 1/6/2022, 550, 2275, 87662, , , 1 9 14 15 33 $100000.00, , ,8 10 12 17 23 +100
FRI - MID, 1/7/2022, 935, 5034, 30981, , , , , ,
FRI - EVE, 1/7/2022, 500, 0951, 09882, , , 7 13 17 26 38 $110000.00, 7 29 43 56 57 +6 x3 $278.00 M/0, ,5 9 22 28 44 +20
SAT - MID, 1/8/2022, 925, 6171, 30398, , , , , ,
SAT - EVE, 1/8/2022, 860, 5210, 02541, 9 11 27 36 44 49 $19.70 M/0, 990528, 3 5 10 11 20 $100000.00, , 20 21 36 60 65 +13 x10 $20.00 M/0,10 32 44 45 47 +160
SUN - MID, 1/9/2022, 525, 0418, 24348, , , , , ,
SUN - EVE, 1/9/2022, 597, 2103, 85900, , , 3 14 29 35 36 $110000.00, , ,3 10 28 38 46 +160
MON - MID, 1/10/2022, 423, 3555, 12772, , , , , ,
MON - EVE, 1/10/2022, 836, 2391, 28924, 2 17 35 39 42 47 $19.80 M/0, 420692, 11 15 25 27 38 $120000.00, , 14 17 18 21 27 +9 x2 $27.00 M/0,7 14 32 43 48 +20
TUE - MID, 1/11/2022, 633, 9420, 56416, , , , , ,
TUE - EVE, 1/11/2022, 076, 0977, 22724, , , 17 18 25 28 31 $130000.00, 2 3 19 52 58 +16 x2 $300.00 M/0, ,2 5 8 18 43 +160
WED - MID, 1/12/2022, 868, 1451, 59233, , , , , ,
WED - EVE, 1/12/2022, 458, 3554, 35959, 15 20 28 35 37 38 $20.00 M/0, 102628, 3 12 14 24 34 $140000.00, , 12 21 22 30 33 +24 x4 $38.00 M/0,3 27 29 33 48 +70
THU - MID, 1/13/2022, 122, 7016, 88283, , , , , ,
THU - EVE, 1/13/2022, 039, 5698, 76276, , , 7 15 17 23 27 $150000.00, , ,3 10 24 27 37 +170
FRI - MID, 1/14/2022, 326, 2527, 12639, , , , , ,
FRI - EVE, 1/14/2022, 002, 4557, 23612, , , 4 11 28 32 34 $162000.00, 5 8 13 22 48 +25 x2 $325.00 M/0, ,2 12 14 36 40 +30
SAT - MID, 1/15/2022, 094, 5017, 68494, , , , , ,
SAT - EVE, 1/15/2022, 789, 6204, 88655, 20 26 33 37 43 44 $20.10 M/0, 973933, 2 5 12 13 24 $206000.00, , 3 18 37 51 59 +13 x2 $48.00 M/0,2 9 25 28 36 +150
SUN - MID, 1/16/2022, 016, 1703, 99243, , , , , ,
SUN - EVE, 1/16/2022, 767, 6596, 11647, , , 3 16 17 20 35 $237000.00, , ,5 10 18 28 48 +130
MON - MID, 1/17/2022, 944, 3385, 59357, , , , , ,
MON - EVE, 1/17/2022, 803, 7466, 57707, 4 17 20 26 45 48 $20.30 M/0, 576594, 7 9 29 34 36 $279000.00, , 9 24 35 46 65 +22 x2 $53.00 M/0,9 29 33 38 45 +20
TUE - MID, 1/18/2022, 558, 7181, 37969, , , , , ,
TUE - EVE, 1/18/2022, 342, 2634, 95646, , , 5 6 14 17 27 $320000.00, 4 19 39 42 52 +9 x4 $347.00 M/0, ,4 31 36 37 43 +160
WED - MID, 1/19/2022, 900, 9311, 96943, , , , , ,
WED - EVE, 1/19/2022, 676, 5719, 89586, 3 13 16 26 29 30 $20.40 M/0, 220192, 8 13 17 27 33 $365000.00, , 11 15 43 55 61 +10 x3 $62.00 M/0,17 20 24 40 42 +90
THU - MID, 1/20/2022, 029, 2513, 37428, , , , , ,
THU - EVE, 1/20/2022, 107, 1104, 75313, , , 6 16 18 21 22 $100000.00, , ,4 25 27 33 43 +50
FRI - MID, 1/21/2022, 552, 5002, 12417, , , , , ,
FRI - EVE, 1/21/2022, 099, 3216, 93635, , , 5 14 15 20 32 $110000.00, 38 45 46 55 67 +18 x2 $376.00 M/0, ,4 23 25 28 35 +160
SAT - MID, 1/22/2022, 560, 2713, 78290, , , , , ,
SAT - EVE, 1/22/2022, 484, 7213, 73434, 2 15 24 31 33 49 $20.50 M/0, 617581, 3 5 19 25 28 $120000.00, , 8 14 33 36 67 +17 x2 $76.00 M/0,9 15 17 21 48 +50
SUN - MID, 1/23/2022, 214, 2637, 00104, , , , , ,
SUN - EVE, 1/23/2022, 862, 0566, 86074, , , 11 15 21 25 32 $130000.00, , ,7 20 34 37 43 +100
MON - MID, 1/24/2022, 714, 1384, 66423, , , , , ,
