Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
TUE - MID, 1/12/2021, 749, 8068, 23945, , , , , ,
TUE - EVE, 1/12/2021, 565, 1129, 90941, , , 1 6 20 34 37 $120000.00, 12 14 26 28 33 +9 x2 $625.00 M/0, ,
WED - MID, 1/13/2021, 881, 9263, 53827, , , , , ,
WED - EVE, 1/13/2021, 196, 1882, 46725, 2 4 12 29 30 44 $3.10 M/0, 861932, 5 19 21 24 28 $130000.00, , 4 19 23 25 49 +14 x2 $550.00 M/0,
THU - MID, 1/14/2021, 979, 0036, 25276, , , , , ,
THU - EVE, 1/14/2021, 835, 4086, 18938, , , 3 9 23 28 33 $140000.00, , ,3 16 20 21 47 +100
FRI - MID, 1/15/2021, 646, 3762, 60867, , , , , ,
FRI - EVE, 1/15/2021, 831, 7285, 33108, , , 2 12 20 24 37 $164000.00, 3 11 12 38 43 +15 x4 $750.00 M/0, ,
SAT - MID, 1/16/2021, 548, 5261, 54876, , , , , ,
SAT - EVE, 1/16/2021, 139, 3841, 57800, 1 17 32 33 37 43 $3.20 M/0, 272550, 1 3 29 33 35 $205000.00, , 14 20 39 65 67 +2 x3 $640.00 M/0,
SUN - MID, 1/17/2021, 408, 4636, 81898, , , , , ,
SUN - EVE, 1/17/2021, 641, 2117, 51633, , , 1 9 33 34 36 $262000.00, , ,
MON - MID, 1/18/2021, 200, 7462, 54993, , , , , ,
MON - EVE, 1/18/2021, 162, 0722, 71777, 5 18 19 20 29 31 $3.30 M/0, 593099, 5 12 19 32 39 $316000.00, , ,2 13 14 19 31 +70
TUE - MID, 1/19/2021, 831, 3945, 87749, , , , , ,
TUE - EVE, 1/19/2021, 912, 2096, 68571, , , 5 10 22 32 39 $371000.00, 10 19 26 28 50 +16 x2 $865.00 M/0, ,
WED - MID, 1/20/2021, 621, 6567, 54423, , , , , ,
WED - EVE, 1/20/2021, 875, 6770, 93088, 3 8 10 16 46 47 $3.40 M/0, 738757, 3 10 11 28 38 $100000.00, , 40 53 60 68 69 +22 x3 $730.00 M/1,
THU - MID, 1/21/2021, 473, 1128, 48403, , , , , ,
THU - EVE, 1/21/2021, 243, 1062, 26608, , , 1 11 16 18 33 $110000.00, , ,11 15 26 34 47 +150
FRI - MID, 1/22/2021, 566, 4043, 76832, , , , , ,
FRI - EVE, 1/22/2021, 280, 2828, 55571, , , 17 21 30 31 36 $120000.00, 4 26 42 50 60 +24 x2 $1000.00 M/1, ,
SAT - MID, 1/23/2021, 765, 1117, 64774, , , , , ,
SAT - EVE, 1/23/2021, 141, 6262, 18277, 1 7 14 22 34 46 $3.50 M/0, 327734, 8 9 11 14 39 $130000.00, , 5 8 17 27 28 +14 x3 $20.00 M/1,
SUN - MID, 1/24/2021, 026, 4767, 71770, , , , , ,
SUN - EVE, 1/24/2021, 510, 5418, 98746, , , 2 17 20 24 38 $140000.00, , ,
MON - MID, 1/25/2021, 450, 2132, 10486, , , , , ,
MON - EVE, 1/25/2021, 480, 8997, 75811, 9 23 27 38 42 44 $3.60 M/0, 236818, 5 14 19 22 31 $100000.00, , ,1 24 28 34 41 +20
TUE - MID, 1/26/2021, 687, 9793, 30985, , , , , ,
TUE - EVE, 1/26/2021, 938, 9233, 59176, , , 3 11 12 35 37 $110000.00, 29 49 56 66 67 +24 x3 $20.00 M/0, ,
WED - MID, 1/27/2021, 678, 9105, 24215, , , , , ,
WED - EVE, 1/27/2021, 340, 4361, 90806, 16 20 21 34 36 41 $3.70 M/0, 520135, 9 16 17 22 28 $120000.00, , 17 33 35 42 52 +9 x3 $20.00 M/0,
THU - MID, 1/28/2021, 053, 8354, 94290, , , , , ,
THU - EVE, 1/28/2021, 836, 1646, 73831, , , 3 8 22 28 34 $130000.00, , ,2 19 24 26 31 +10
FRI - MID, 1/29/2021, 931, 9238, 20524, , , , , ,
FRI - EVE, 1/29/2021, 906, 8687, 89441, , , 10 19 21 24 39 $140000.00, 4 44 58 59 70 +3 x3 $25.00 M/0, ,
SAT - MID, 1/30/2021, 070, 2915, 06464, , , , , ,
SAT - EVE, 1/30/2021, 825, 6566, 08232, 7 28 30 32 33 47 $3.80 M/0, 837949, 6 11 17 22 33 $161000.00, , 1 2 7 52 61 +4 x3 $30.00 M/1,
SUN - MID, 1/31/2021, 695, 7418, 84786, , , , , ,
SUN - EVE, 1/31/2021, 011, 8107, 09657, , , 4 7 20 26 37 $100000.00, , ,
MON - MID, 2/1/2021, 409, 2386, 48820, , , , , ,
MON - EVE, 2/1/2021, 915, 6121, 64562, 7 14 36 37 47 49 $3.90 M/0, 430179, 3 8 10 14 22 $110000.00, , ,15 17 27 30 39 +20
TUE - MID, 2/2/2021, 090, 0673, 62084, , , , , ,
TUE - EVE, 2/2/2021, 431, 2658, 40189, , , 3 22 25 31 38 $100000.00, 13 37 38 40 67 +10 x2 $42.00 M/0, ,
WED - MID, 2/3/2021, 148, 6966, 26979, , , , , ,
WED - EVE, 2/3/2021, 509, 6360, 89186, 23 27 29 40 43 48 $4.00 M/0, 392672, 7 9 24 32 33 $110000.00, , 5 37 40 64 66 +5 x3 $20.00 M/0,
THU - MID, 2/4/2021, 390, 3845, 44558, , , , , ,
THU - EVE, 2/4/2021, 570, 5047, 85530, , , 7 18 21 33 38 $120000.00, , ,3 9 13 24 40 +160
FRI - MID, 2/5/2021, 108, 5359, 78259, , , , , ,
FRI - EVE, 2/5/2021, 857, 5360, 69653, , , 8 20 21 26 30 $130000.00, 14 17 28 29 44 +2 x4 $54.00 M/0, ,
SAT - MID, 2/6/2021, 120, 4848, 88712, , , , , ,
SAT - EVE, 2/6/2021, 399, 4127, 85704, 13 31 38 42 43 47 $4.10 M/0, 539719, 9 13 15 20 32 $140000.00, , 1 16 48 49 65 +8 x2 $30.00 M/0,
SUN - MID, 2/7/2021, 580, 2923, 70515, , , , , ,
SUN - EVE, 2/7/2021, 048, 4500, 54883, , , 2 13 24 26 32 $180000.00, , ,
MON - MID, 2/8/2021, 445, 9501, 00967, , , , , ,
MON - EVE, 2/8/2021, 584, 4499, 27333, 1 39 41 44 47 49 $4.20 M/0, 852588, 5 27 28 29 30 $219000.00, , ,2 12 22 24 26 +110
TUE - MID, 2/9/2021, 038, 9838, 79399, , , , , ,
TUE - EVE, 2/9/2021, 496, 1773, 19765, , , 10 12 19 26 35 $100000.00, 7 18 21 31 40 +9 x4 $68.00 M/0, ,
WED - MID, 2/10/2021, 128, 4060, 86415, , , , , ,
WED - EVE, 2/10/2021, 995, 8137, 07461, 3 9 19 22 29 31 $4.30 M/0, 425743, 9 14 15 16 36 $110000.00, , 15 39 58 63 67 +7 x2 $42.00 M/0,
THU - MID, 2/11/2021, 728, 8303, 72245, , , , , ,
THU - EVE, 2/11/2021, 535, 1266, 60814, , , 13 21 30 37 38 $120000.00, , ,7 9 15 31 39 +11
FRI - MID, 2/12/2021, 206, 9665, 67298, , , , , ,
FRI - EVE, 2/12/2021, 769, 4270, 05491, , , 2 7 10 28 39 $130000.00, 5 14 24 25 27 +14 x3 $82.00 M/0, ,
SAT - MID, 2/13/2021, 227, 5432, 53559, , , , , ,
SAT - EVE, 2/13/2021, 651, 9488, 57382, 13 21 25 29 32 45 $4.40 M/0, 368386, 14 16 19 32 34 $140000.00, , 20 28 33 63 68 +20 x2 $56.00 M/0,
SUN - MID, 2/14/2021, 180, 0031, 07803, , , , , ,
SUN - EVE, 2/14/2021, 514, 2958, 54429, , , 9 10 15 21 38 $182000.00, , ,
MON - MID, 2/15/2021, 278, 4548, 72219, , , , , ,
MON - EVE, 2/15/2021, 503, 4691, 97666, 10 16 17 25 46 49 $4.50 M/0, 758173, 8 15 20 27 29 $223000.00, , ,1 21 22 34 45 +110
TUE - MID, 2/16/2021, 690, 2451, 68805, , , , , ,
TUE - EVE, 2/16/2021, 806, 9108, 77633, , , 10 14 15 30 39 $266000.00, 1 36 44 54 66 +10 x3 $96.00 M/1, ,
WED - MID, 2/17/2021, 112, 9177, 03639, , , , , ,
WED - EVE, 2/17/2021, 318, 2773, 00235, 3 16 21 25 37 42 $4.60 M/0, 924476, 5 10 27 30 39 $316000.00, , 1 15 21 32 46 +1 x3 $66.00 M/0,
THU - MID, 2/18/2021, 498, 5453, 05580, , , , , ,
THU - EVE, 2/18/2021, 946, 2083, 18828, , , 13 19 25 28 30 $374000.00, , ,10 11 17 27 32 +150
FRI - MID, 2/19/2021, 021, 7989, 35624, , , , , ,
FRI - EVE, 2/19/2021, 904, 0398, 79894, , , 3 13 17 21 37 $430000.00, 27 32 47 50 53 +4 x4 $20.00 M/0, ,
SAT - MID, 2/20/2021, 961, 4049, 46318, , , , , ,
SAT - EVE, 2/20/2021, 859, 2968, 22923, 1 2 15 17 32 43 $4.70 M/0, 498731, 7 31 34 36 38 $505000.00, , 4 8 22 32 58 +4 x10 $78.00 M/0,
SUN - MID, 2/21/2021, 043, 7394, 99214, , , , , ,
SUN - EVE, 2/21/2021, 266, 8897, 58921, , , 1 4 30 38 39 $100000.00, , ,
MON - MID, 2/22/2021, 954, 0115, 84307, , , , , ,
MON - EVE, 2/22/2021, 119, 1133, 46141, 1 4 17 28 31 32 $4.80 M/0, 983784, 6 9 25 31 34 $110000.00, , ,2 10 12 43 45 +10
TUE - MID, 2/23/2021, 027, 0538, 21607, , , , , ,
TUE - EVE, 2/23/2021, 651, 7752, 89301, , , 13 19 24 32 39 $120000.00, 5 7 9 20 57 +15 x3 $22.00 M/0, ,
WED - MID, 2/24/2021, 473, 0925, 11301, , , , , ,
WED - EVE, 2/24/2021, 890, 6655, 55348, 24 25 26 30 39 42 $4.90 M/0, 496683, 1 2 21 33 36 $130000.00, , 4 33 43 53 65 +21 x3 $90.00 M/0,
THU - MID, 2/25/2021, 894, 1292, 76950, , , , , ,
THU - EVE, 2/25/2021, 757, 2125, 80398, , , 4 8 10 24 38 $149000.00, , ,16 34 35 38 45 +10
FRI - MID, 2/26/2021, 535, 0195, 67577, , , , , ,
FRI - EVE, 2/26/2021, 284, 2517, 52253, , , 5 10 27 28 32 $100000.00, 11 15 37 62 64 +5 x2 $30.00 M/0, ,
SAT - MID, 2/27/2021, 030, 1717, 84806, , , , , ,
SAT - EVE, 2/27/2021, 087, 5631, 12560, 4 10 12 19 24 31 $5.00 M/0, 188693, 9 10 13 33 36 $110000.00, , 2 28 31 44 52 +18 x3 $106.00 M/0,
SUN - MID, 2/28/2021, 757, 9331, 22596, , , , , ,
SUN - EVE, 2/28/2021, 391, 7349, 53649, , , 1 2 10 11 27 $100000.00, , ,
MON - MID, 3/1/2021, 265, 8188, 74006, , , , , ,
MON - EVE, 3/1/2021, 637, 9369, 78009, 1 4 14 25 34 38 $5.10 M/0, 517663, 10 13 25 31 33 $100000.00, , ,5 11 17 26 47 +30
TUE - MID, 3/2/2021, 338, 6227, 59384, , , , , ,
TUE - EVE, 3/2/2021, 127, 7979, 19784, , , 3 13 17 27 28 $110000.00, 4 8 13 34 64 +18 x2 $43.00 M/0, ,
WED - MID, 3/3/2021, 505, 5717, 52786, , , , , ,
WED - EVE, 3/3/2021, 070, 1874, 64936, 15 20 30 36 37 48 $5.20 M/0, 353676, 1 4 9 23 26 $120000.00, , 21 40 44 50 55 +16 x3 $123.00 M/0,
THU - MID, 3/4/2021, 921, 3843, 79188, , , , , ,
THU - EVE, 3/4/2021, 254, 0025, 66754, , , 8 9 22 27 36 $130000.00, , ,2 5 32 35 37 +20
FRI - MID, 3/5/2021, 160, 2389, 96716, , , , , ,
FRI - EVE, 3/5/2021, 873, 2308, 32579, , , 11 14 17 33 37 $140000.00, 10 11 17 27 54 +20 x2 $55.00 M/0, ,
SAT - MID, 3/6/2021, 528, 5459, 03491, , , , , ,
SAT - EVE, 3/6/2021, 668, 8540, 87704, 8 10 20 35 39 41 $5.30 M/0, 428559, 16 18 28 30 37 $150000.00, , 11 31 50 52 58 +18 x4 $138.00 M/0,
SUN - MID, 3/7/2021, 931, 1248, 90633, , , , , ,
SUN - EVE, 3/7/2021, 037, 4328, 87007, , , 2 7 15 17 38 $100000.00, , ,
MON - MID, 3/8/2021, 072, 9861, 63495, , , , , ,
MON - EVE, 3/8/2021, 937, 1939, 21715, 4 5 9 31 33 39 $5.40 M/0, 813820, 12 19 20 22 35 $100000.00, , ,3 9 40 41 44 +60
TUE - MID, 3/9/2021, 912, 6993, 76754, , , , , ,
TUE - EVE, 3/9/2021, 352, 0368, 09678, , , 11 16 19 32 34 $110000.00, 4 33 46 58 65 +13 x2 $68.00 M/0, ,
WED - MID, 3/10/2021, 996, 7375, 70734, , , , , ,
WED - EVE, 3/10/2021, 320, 1948, 73673, 7 10 15 18 43 48 $5.50 M/0, 211998, 10 19 23 26 28 $120000.00, , 17 18 37 44 53 +18 x3 $155.00 M/0,
THU - MID, 3/11/2021, 267, 6077, 93698, , , , , ,
THU - EVE, 3/11/2021, 061, 2482, 24743, , , 1 10 16 27 37 $130000.00, , ,15 19 28 30 48 +51
FRI - MID, 3/12/2021, 082, 1443, 87131, , , , , ,
FRI - EVE, 3/12/2021, 465, 9984, 54943, , , 14 18 29 31 33 $140000.00, 2 24 25 31 65 +18 x4 $79.00 M/0, ,
SAT - MID, 3/13/2021, 352, 4732, 70734, , , , , ,
SAT - EVE, 3/13/2021, 992, 5543, 27410, 11 15 26 38 43 45 $5.60 M/0, 321900, 5 10 13 25 32 $169000.00, , 5 11 51 56 61 +2 x2 $169.00 M/0,
SUN - MID, 3/14/2021, 100, 9088, 40173, , , , , ,
SUN - EVE, 3/14/2021, 615, 0467, 49086, , , 1 4 5 28 33 $205000.00, , ,
MON - MID, 3/15/2021, 372, 5506, 31970, , , , , ,
MON - EVE, 3/15/2021, 703, 0680, 04525, 6 20 21 28 36 45 $5.70 M/0, 303172, 5 7 10 11 25 $244000.00, , ,5 14 15 27 37 +70
TUE - MID, 3/16/2021, 549, 2724, 93897, , , , , ,
TUE - EVE, 3/16/2021, 829, 9923, 67428, , , 2 12 13 24 31 $100000.00, 10 41 46 52 69 +8 x2 $93.00 M/0, ,
WED - MID, 3/17/2021, 421, 4863, 37883, , , , , ,
WED - EVE, 3/17/2021, 137, 6726, 26125, 7 17 19 44 47 48 $5.80 M/0, 183974, 20 21 22 25 26 $110000.00, , 34 38 42 61 62 +19 x2 $184.00 M/0,
THU - MID, 3/18/2021, 013, 9670, 87243, , , , , ,
THU - EVE, 3/18/2021, 307, 2788, 64455, , , 3 11 20 24 34 $120000.00, , ,2 5 21 28 45 +150
FRI - MID, 3/19/2021, 556, 4727, 92716, , , , , ,
FRI - EVE, 3/19/2021, 169, 4307, 49958, , , 24 26 31 34 36 $130000.00, 9 14 40 58 69 +8 x3 $105.00 M/0, ,
SAT - MID, 3/20/2021, 730, 8606, 76536, , , , , ,
SAT - EVE, 3/20/2021, 136, 9759, 10414, 5 12 29 35 36 47 $5.90 M/0, 333704, 4 7 10 14 33 $147000.00, , 1 6 22 42 61 +4 x3 $200.00 M/0,
SUN - MID, 3/21/2021, 018, 6559, 02689, , , , , ,
SUN - EVE, 3/21/2021, 521, 5884, 16071, , , 8 13 25 31 34 $176000.00, , ,
MON - MID, 3/22/2021, 109, 9336, 04193, , , , , ,
MON - EVE, 3/22/2021, 172, 3399, 49793, 5 20 28 32 37 46 $6.00 M/0, 467003, 5 24 31 32 36 $217000.00, , ,3 5 24 31 45 +10
TUE - MID, 3/23/2021, 481, 8849, 80409, , , , , ,
TUE - EVE, 3/23/2021, 264, 7059, 89539, , , 4 13 30 32 37 $100000.00, 12 23 35 38 55 +11 x2 $122.00 M/0, ,
WED - MID, 3/24/2021, 860, 9194, 10744, , , , , ,
WED - EVE, 3/24/2021, 182, 2546, 82008, 7 29 38 39 44 45 $6.10 M/0, 246247, 13 22 24 33 36 $110000.00, , 4 9 17 27 38 +18 x2 $220.00 M/0,
THU - MID, 3/25/2021, 908, 0342, 26681, , , , , ,
THU - EVE, 3/25/2021, 714, 3936, 29905, , , 6 10 12 19 34 $120000.00, , ,3 24 25 37 44 +50
FRI - MID, 3/26/2021, 567, 0162, 70217, , , , , ,
FRI - EVE, 3/26/2021, 002, 3890, 75484, , , 12 21 25 31 33 $130000.00, 4 25 37 46 67 +15 x3 $137.00 M/0, ,
SAT - MID, 3/27/2021, 651, 2174, 15927, , , , , ,
SAT - EVE, 3/27/2021, 833, 5280, 18932, 21 30 31 33 36 39 $6.20 M/0, 303024, 4 9 11 17 18 $144000.00, , 6 14 38 39 65 +6 x3 $238.00 M/1,
SUN - MID, 3/28/2021, 757, 0690, 08619, , , , , ,
SUN - EVE, 3/28/2021, 448, 4902, 85462, , , 15 22 26 27 28 $100000.00, , ,
MON - MID, 3/29/2021, 706, 9999, 73259, , , , , ,
MON - EVE, 3/29/2021, 301, 6937, 13331, 5 12 13 20 31 49 $6.30 M/0, 196194, 1 10 11 23 33 $110000.00, , ,9 29 32 42 45 +40
TUE - MID, 3/30/2021, 001, 8121, 49077, , , , , ,
TUE - EVE, 3/30/2021, 760, 1599, 09770, , , 4 15 18 19 31 $100000.00, 11 37 47 53 56 +15 x3 $152.00 M/0, ,
WED - MID, 3/31/2021, 155, 5292, 89759, , , , , ,
WED - EVE, 3/31/2021, 063, 4198, 82520, 4 16 19 20 46 48 $6.40 M/0, 095888, 8 11 21 23 27 $110000.00, , 3 10 44 55 68 +24 x2 $20.00 M/0,
THU - MID, 4/1/2021, 798, 6411, 84834, , , , , ,
THU - EVE, 4/1/2021, 068, 2225, 08920, , , 12 15 27 30 31 $120000.00, , ,5 27 36 42 47 +90
FRI - MID, 4/2/2021, 596, 1152, 90390, , , , , ,
FRI - EVE, 4/2/2021, 065, 5690, 89609, , , 4 6 12 20 26 $130000.00, 10 42 48 53 62 +19 x2 $168.00 M/0, ,
SAT - MID, 4/3/2021, 719, 1625, 60785, , , , , ,
SAT - EVE, 4/3/2021, 965, 0955, 11298, 2 9 11 23 24 46 $6.50 M/0, 841477, 4 17 23 24 29 $140000.00, , 1 12 17 39 53 +5 x2 $32.00 M/0,
SUN - MID, 4/4/2021, 674, 9044, 78625, , , , , ,
SUN - EVE, 4/4/2021, 476, 4467, 04439, , , 4 6 12 15 22 $152000.00, , ,
MON - MID, 4/5/2021, 093, 2728, 37257, , , , , ,
MON - EVE, 4/5/2021, 221, 8106, 24501, 7 18 29 36 41 42 $6.60 M/0, 535289, 8 11 15 25 28 $100000.00, , ,2 5 16 26 39 +100
TUE - MID, 4/6/2021, 053, 0247, 68428, , , , , ,
TUE - EVE, 4/6/2021, 823, 9926, 74825, , , 17 19 21 34 38 $110000.00, 1 19 20 32 42 +17 x3 $184.00 M/0, ,
WED - MID, 4/7/2021, 472, 6641, 83200, , , , , ,
WED - EVE, 4/7/2021, 488, 5820, 00645, 5 17 26 32 44 49 $6.70 M/0, 361064, 4 5 9 21 22 $120000.00, , 27 35 39 51 66 +16 x5 $43.00 M/0,
THU - MID, 4/8/2021, 950, 3696, 56016, , , , , ,
THU - EVE, 4/8/2021, 593, 6158, 92078, , , 3 7 18 21 32 $100000.00, , ,17 25 30 37 39 +100
FRI - MID, 4/9/2021, 622, 2451, 55845, , , , , ,
FRI - EVE, 4/9/2021, 024, 5243, 53230, , , 5 9 16 18 30 $110000.00, 22 26 27 58 66 +12 x2 $201.00 M/0, ,
SAT - MID, 4/10/2021, 494, 0237, 86057, , , , , ,
SAT - EVE, 4/10/2021, 329, 8970, 98981, 8 9 13 17 33 46 $6.80 M/0, 572976, 2 9 20 28 35 $120000.00, , 14 16 23 50 53 +3 x3 $55.00 M/0,
SUN - MID, 4/11/2021, 148, 8667, 71904, , , , , ,
SUN - EVE, 4/11/2021, 124, 5853, 59213, , , 15 16 17 24 27 $130000.00, , ,
MON - MID, 4/12/2021, 939, 1101, 07971, , , , , ,
MON - EVE, 4/12/2021, 918, 4414, 85374, 3 5 7 18 44 48 $6.90 M/0, 377743, 6 20 25 26 36 $140000.00, , ,1 12 16 26 36 +40
TUE - MID, 4/13/2021, 871, 1020, 59263, , , , , ,
TUE - EVE, 4/13/2021, 539, 6756, 44880, , , 5 9 16 18 19 $155000.00, 10 15 19 45 68 +9 x4 $220.00 M/0, ,
WED - MID, 4/14/2021, 072, 8545, 25637, , , , , ,
WED - EVE, 4/14/2021, 571, 4305, 40021, 5 11 18 22 23 25 $7.00 M/0, 098143, 4 9 23 25 36 $182000.00, , 13 30 33 45 61 +14 x2 $67.00 M/0,
THU - MID, 4/15/2021, 621, 2661, 74359, , , , , ,
THU - EVE, 4/15/2021, 114, 8341, 72072, , , 7 9 30 34 37 $223000.00, , ,3 4 18 31 43 +40
FRI - MID, 4/16/2021, 179, 2984, 19022, , , , , ,
FRI - EVE, 4/16/2021, 487, 2260, 21026, , , 7 9 22 36 38 $278000.00, 17 27 28 50 55 +25 x4 $240.00 M/0, ,
SAT - MID, 4/17/2021, 302, 6822, 06222, , , , , ,
SAT - EVE, 4/17/2021, 324, 0582, 65133, 4 5 7 9 15 42 $7.10 M/0, 998598, 6 9 17 28 36 $341000.00, , 10 21 26 41 49 +25 x2 $79.00 M/0,
SUN - MID, 4/18/2021, 466, 1206, 27035, , , , , ,
SUN - EVE, 4/18/2021, 575, 4563, 43809, , , 7 11 14 19 20 $100000.00, , ,
MON - MID, 4/19/2021, 206, 9584, 21202, , , , , ,
MON - EVE, 4/19/2021, 130, 3240, 24087, 4 19 27 39 47 49 $7.20 M/0, 890888, 10 12 21 24 37 $100000.00, , ,13 21 31 32 33 +150
TUE - MID, 4/20/2021, 925, 1200, 88229, , , , , ,
TUE - EVE, 4/20/2021, 958, 4613, 36535, , , 10 13 16 24 25 $100000.00, 6 23 43 49 52 +5 x3 $257.00 M/0, ,
WED - MID, 4/21/2021, 650, 4557, 32665, , , , , ,
WED - EVE, 4/21/2021, 680, 3401, 91019, 6 7 13 32 36 46 $7.30 M/0, 540955, 16 21 22 26 28 $110000.00, , 21 25 32 63 67 +6 x2 $90.00 M/0,
THU - MID, 4/22/2021, 732, 0617, 20993, , , , , ,
THU - EVE, 4/22/2021, 993, 0351, 64862, , , 4 10 20 21 25 $100000.00, , ,20 28 29 35 37 +150
FRI - MID, 4/23/2021, 439, 0529, 13019, , , , , ,
FRI - EVE, 4/23/2021, 957, 4424, 60801, , , 10 15 18 33 35 $110000.00, 4 28 29 30 60 +25 x3 $277.00 M/0, ,
SAT - MID, 4/24/2021, 136, 8360, 35229, , , , , ,
SAT - EVE, 4/24/2021, 284, 0266, 00891, 6 11 23 26 28 39 $7.40 M/0, 961553, 4 9 17 20 34 $120000.00, , 22 36 48 59 61 +22 x3 $104.00 M/0,
SUN - MID, 4/25/2021, 133, 5850, 94069, , , , , ,
SUN - EVE, 4/25/2021, 291, 4400, 53044, , , 3 10 14 37 39 $130000.00, , ,
MON - MID, 4/26/2021, 268, 3913, 88178, , , , , ,
MON - EVE, 4/26/2021, 421, 4273, 33162, 1 8 11 33 43 47 $7.50 M/0, 345362, 8 13 16 25 37 $140000.00, , ,8 22 33 37 38 +100
TUE - MID, 4/27/2021, 153, 2473, 47250, , , , , ,
TUE - EVE, 4/27/2021, 917, 5696, 99377, , , 3 21 24 29 31 $168000.00, 15 22 30 41 42 +25 x4 $297.00 M/0, ,
WED - MID, 4/28/2021, 520, 3228, 24095, , , , , ,
WED - EVE, 4/28/2021, 735, 1837, 61939, 10 12 25 36 43 45 $7.60 M/0, 703551, 1 10 22 27 30 $202000.00, , 16 18 35 39 53 +21 x3 $116.00 M/0,
THU - MID, 4/29/2021, 747, 8557, 94053, , , , , ,
THU - EVE, 4/29/2021, 519, 7347, 04368, , , 16 23 35 36 37 $100000.00, , ,1 9 10 18 34 +130
FRI - MID, 4/30/2021, 360, 1075, 01051, , , , , ,
FRI - EVE, 4/30/2021, 964, 4139, 48585, , , 2 4 13 20 21 $110000.00, 8 19 26 48 49 +5 x3 $319.00 M/0, ,
SAT - MID, 5/1/2021, 388, 5869, 08683, , , , , ,
SAT - EVE, 5/1/2021, 483, 6736, 04027, 7 9 16 21 35 49 $7.70 M/0, 984070, 6 8 13 14 32 $120000.00, , 35 36 47 61 63 +3 x3 $129.00 M/0,
SUN - MID, 5/2/2021, 105, 7829, 60912, , , , , ,
SUN - EVE, 5/2/2021, 270, 0817, 66368, , , 10 21 35 36 39 $130000.00, , ,
MON - MID, 5/3/2021, 052, 1906, 82913, , , , , ,
MON - EVE, 5/3/2021, 960, 0724, 46669, 3 15 34 39 40 49 $7.80 M/0, 203890, 9 13 14 16 23 $140000.00, , ,7 11 12 18 21 +100
TUE - MID, 5/4/2021, 921, 5695, 76032, , , , , ,
TUE - EVE, 5/4/2021, 574, 2373, 49363, , , 3 19 21 37 39 $167000.00, 4 27 32 57 63 +22 x3 $345.00 M/0, ,
WED - MID, 5/5/2021, 458, 6298, 36683, , , , , ,
WED - EVE, 5/5/2021, 773, 1964, 27065, 6 10 21 24 29 43 $7.90 M/0, 627122, 2 12 23 32 35 $212000.00, , 16 23 28 40 63 +1 x2 $142.00 M/0,
THU - MID, 5/6/2021, 885, 9856, 90295, , , , , ,
THU - EVE, 5/6/2021, 063, 5622, 65692, , , 3 10 12 21 38 $260000.00, , ,5 13 26 32 47 +80
