Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
FRI - MID, 1/1/2021, 934, 6235, 19478, , , , , ,
FRI - EVE, 1/1/2021, 097, 9759, 03479, , , 6 7 36 38 39 $110000.00, 8 24 53 68 69 +7 x5 $401.00 M/0, ,
SAT - MID, 1/2/2021, 773, 1966, 68312, , , , , ,
SAT - EVE, 1/2/2021, 119, 3872, 23417, 11 21 22 26 28 43 $2.60 M/0, 529889, 1 16 27 29 38 $100000.00, , 3 4 11 41 67 +5 x2 $384.00 M/0,
SUN - MID, 1/3/2021, 137, 2774, 64559, , , , , ,
SUN - EVE, 1/3/2021, 733, 2185, 79382, , , 5 11 16 27 38 $110000.00, , ,
MON - MID, 1/4/2021, 374, 9037, 17398, , , , , ,
MON - EVE, 1/4/2021, 824, 9581, 41404, 15 23 26 27 34 36 $2.70 M/0, 346521, 1 5 22 23 24 $100000.00, , ,2 12 21 26 46 +70
TUE - MID, 1/5/2021, 054, 2491, 45290, , , , , ,
TUE - EVE, 1/5/2021, 801, 6826, 72036, , , 4 6 10 25 27 $110000.00, 20 43 51 55 57 +4 x2 $447.00 M/0, ,
WED - MID, 1/6/2021, 828, 2220, 55316, , , , , ,
WED - EVE, 1/6/2021, 723, 6344, 35846, 2 16 17 23 44 45 $2.80 M/0, 337849, 1 9 15 34 39 $120000.00, , 1 20 22 60 66 +3 x3 $410.00 M/0,
THU - MID, 1/7/2021, 662, 1618, 40494, , , , , ,
THU - EVE, 1/7/2021, 111, 7964, 55447, , , 6 11 18 21 24 $130000.00, , ,3 20 25 28 30 +180
FRI - MID, 1/8/2021, 163, 3874, 12802, , , , , ,
FRI - EVE, 1/8/2021, 032, 5152, 52626, , , 12 18 20 23 37 $140000.00, 3 6 16 18 58 +11 x2 $520.00 M/0, ,
SAT - MID, 1/9/2021, 581, 3166, 75758, , , , , ,
SAT - EVE, 1/9/2021, 655, 6677, 86340, 12 21 32 37 45 48 $2.90 M/0, 249905, 10 18 20 22 29 $154000.00, , 14 26 38 45 46 +13 x2 $470.00 M/0,
SUN - MID, 1/10/2021, 586, 0492, 39198, , , , , ,
SUN - EVE, 1/10/2021, 664, 3628, 63161, , , 3 10 24 35 36 $100000.00, , ,
MON - MID, 1/11/2021, 953, 9072, 39371, , , , , ,
MON - EVE, 1/11/2021, 658, 7662, 12486, 12 16 23 33 42 49 $3.00 M/0, 602561, 9 15 26 30 37 $110000.00, , ,1 8 20 37 39 +80
